title,publishedAt,viewCount,likeCount,commentCount,duration
1:27AM Pajama Night in NYC 🌃✨,2022-11-19T13:00:21Z,920202,82383,1838,937
We form a link with NCTzen🇺🇸💚 | THE LINK LOG #LA #NEWARK,2022-11-16T14:00:30Z,361871,36334,843,1501
NCT 127 '윤슬 (Gold Dust)' @NCT 127 2ND TOUR 'NEO CITY : SEOUL – THE LINK ⁺',2022-11-11T13:00:05Z,664453,70967,2560,264
NCT 127 2ND TOUR 'NEO CITY : SEOUL – THE LINK ⁺' Recap Video,2022-11-09T13:00:18Z,177245,28022,839,103
2023 NCT 127 SEASON’S GREETINGS CONCEPT TRAILER #NCT127,2022-11-09T06:00:01Z,77851,19886,288,59
"시즈니 R U Ready?!🏎💚 | NCT 127 4TH ALBUM ""질주"" COMEBACKSHOW- FASTER Behind",2022-10-28T13:00:41Z,236116,27534,415,816
[💚][TO THE NCT UNIVERSE] NCT 127: WELCOME TO MY CITY,2022-10-28T06:00:04Z,190456,29339,514,103
[Un Cut] Take #4｜’질주 (2 Baddies)' Dance Practice Behind the Scene,2022-10-26T13:00:09Z,761110,68570,1608,958
SPOILER🚨 NCT 127 2ND TOUR 'NEO CITY : SEOUL – THE LINK ⁺' MEETING,2022-10-19T11:00:32Z,205788,25010,476,220
[Un Cut] Take #3｜’질주 (2 Baddies)' Recording Behind the Scene,2022-10-18T11:00:07Z,644519,64277,1922,1834
[Un Cut] Take #2 | '질주 (2 Baddies)' Jacket Behind the Scene,2022-10-15T11:00:24Z,210028,24612,536,867
[Un Cut] Take #1｜'NEO SEOUL' Behind the Scene,2022-10-12T11:00:15Z,199086,23705,469,1034
너무너무 즐겁게 했던 거 같아요!🏎🍑 | #질주STREET으로 #피치스로 질쭈고 EP.3,2022-10-09T13:00:10Z,228623,24550,402,952
❤️‍🔥저희의 질주는 끝이 없습니다!⚡️ | 질주 (2 Baddies) 음악방송 대기실 비하인드,2022-10-07T13:00:31Z,459227,41688,734,870
Manila🇵🇭 We will be back💚 | THE LINK LOG #MANILA,2022-10-06T11:00:33Z,309171,38924,1524,919
NCT 127 Commentary Film | '질주 (2 Baddies)' MV Behind,2022-10-04T13:00:21Z,368950,42240,1156,1322
…터미네이터 아니야…?🤖🚦ㅣ127 GARAGE : 최고의 레이서를 찾아라ㅣEP.2,2022-10-02T13:00:04Z,564054,49947,1404,1614
❤️‍🔥NCT 127 지금 열정 미쳤어요❤️‍🔥ㅣ질주 (2 Baddies) K-909 대기실 비하인드,2022-10-01T13:00:31Z,563209,50989,783,1280
2 Baddies🎶 1 Porsche🏎 ➕ Brand🆕‼️,2022-10-01T09:33:24Z,612447,85901,521,28
다시 꼭 오도록 할게요💐☕️  | #광주로 #대전으로 질쭈고 EP.2,2022-09-29T11:00:39Z,296710,29602,594,1067
다 같이 질주 함께 해봅시다 알았죠?😎🧢 | #부산으로 #대구로 질쭈고 EP.1,2022-09-27T13:00:19Z,360031,37574,824,1153
🎵🐻🐬Na na na na🐶🦕🎶,2022-09-27T12:53:31Z,527622,75276,560,28
Come on🏁 이런 게 감성이지~😎✌️ㅣNCT 127 POP-UP STORE ‘질주STREET' Behind🏎💨,2022-09-26T11:00:37Z,282582,34387,648,537
예〰싸〰〰 Too Fast ㅠㅠ 질주하자🏎💨ㅣ127 GARAGE : 최고의 레이서를 찾아라ㅣEP.1,2022-09-25T13:00:33Z,883335,73979,1751,1692
흥 좀 오르는데 노래나 해볼까?ㅣ즉석 회식라이브 ❮질주PUB🍺❯,2022-09-24T13:00:09Z,964549,93828,3013,1052
#새삥 🐦👕👖✨🎶 With #원밀리언_백구영 & #위댐보이즈_바타,2022-09-24T11:13:18Z,1101271,86931,522,30
✌️Baddies✌️ with #영지 🏎💨💚,2022-09-23T12:45:26Z,2141878,164675,1025,18
[#TAEIL Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:32Z,28531,5292,308,103
[#YUTA Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:27Z,70970,9044,326,113
[#MARK Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:20Z,33756,6057,148,116
[#TAEYONG Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:13Z,68003,8842,380,113
[#JUNGWOO Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:12Z,25102,4936,152,112
[#HAECHAN Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:10Z,36278,8347,270,104
[#JOHNNY Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:07Z,22875,4601,162,110
[#JAEHYUN Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:05Z,33964,7322,122,106
[#DOYOUNG Focus] '질주 (2 Baddies)' @MV Filming Set | NCT 127 엔시티 127,2022-09-22T13:00:03Z,26755,5831,173,112
2 Baddies🕺🏻🕺🏻 1 Porsche🏎🎶🎵With #원밀리언_백구영 & #위댐보이즈_바타,2022-09-22T11:12:08Z,561824,60979,249,23
NCT 127 엔시티 127 '질주 (2 Baddies)' Live Stage @COMEBACKSHOW- FASTER,2022-09-21T13:00:08Z,786829,83449,1792,243
[Replay] NCT 127 ‘질주 (2 Baddies)’ Countdown Live,2022-09-21T05:00:19Z,224502,17305,365,3125
손가락이 없어! ㅜㅠ,2022-09-21T03:00:04Z,240311,40535,380,58
2 Kitties 1 Porsche?,2022-09-21T03:00:00Z,248751,38936,416,58
NCT 127 X Peaches. Pop-up Preview : ‘질주 (2 Baddies)’ @ D8NE,2022-09-19T13:00:35Z,176016,30485,892,63
🐱Na🐯na🐹na🐱na~🎵,2022-09-19T12:44:32Z,745893,110620,958,28
2 Baddies 2 Baddies 1 Porsche 🏎 | NCT 127 '질주 (2 Baddies)' Fanchant Guide,2022-09-18T13:00:14Z,265986,35728,1649,303
2 🦦🦌 1 Tyong🌹💚,2022-09-18T12:50:59Z,387818,53446,343,27
REACTION to ’질주 (2 Baddies)’ MVㅣNCT 127 Reaction,2022-09-18T11:00:08Z,755406,80892,4955,295
✌️✌️↩️ #NCT127Challenge,2022-09-18T09:03:00Z,330984,45959,363,15
2🅱️1🅿️ #NCT127Challenge,2022-09-18T09:02:00Z,233152,32583,224,15
#NCT127Challenge 찍으러 질주!,2022-09-18T09:01:00Z,268489,37873,329,22
아직 #NCT127Challenge 안 찍었어?,2022-09-18T09:00:28Z,219388,32181,232,26
"NCT 127 ""질주 (2 Baddies) - The 4th Album"" Deluxe Box Official Unboxing",2022-09-17T16:00:27Z,197900,26666,628,329
NCT 127 엔시티 127 '질주 (2 Baddies)' Performance Video,2022-09-17T13:00:19Z,2435719,210795,6803,249
2 Baddies(x2) 1 Porsche🏎💨🕵️‍♂️,2022-09-17T11:25:04Z,192803,28637,227,13
UNBOXING of NCT 127 ’질주 (2 Baddies)’ Album🏎💨,2022-09-17T11:00:16Z,331766,42110,985,532
Na na na na na na na na~🎵💗 with #소녀시대 #효연 #서현,2022-09-16T06:52:12Z,771353,87658,409,27
NCT 127 'Faster' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:37Z,671153,38590,1226,171
NCT 127 '질주 (2 Baddies)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:33Z,263054,16300,289,231
NCT 127 'Time Lapse' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:30Z,497819,26565,1088,216
NCT 127 '불시착 (Crash Landing)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:26Z,445158,23923,825,205
NCT 127 'Designer' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:22Z,1512754,52561,1483,238
NCT 127 '윤슬 (Gold Dust)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:19Z,816251,36788,1689,250
NCT 127 '흑백 영화 (Black Clouds)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:15Z,548730,27040,1119,219
NCT 127 'Playback' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:13Z,278278,17816,344,193
NCT 127 'Tasty (貘)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:10Z,330314,20575,747,215
NCT 127 'Vitamin' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:07Z,397119,22286,684,185
NCT 127 'LOL (Laugh-Out-Loud)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:04Z,400408,22945,651,220
"NCT 127 '1, 2, 7 (Time Stops)' (Official Audio) | 질주 (2 Baddies) - The 4th Album",2022-09-16T04:00:02Z,372200,21474,662,217
TYONG’s #NCT127Challenge,2022-09-16T03:00:27Z,175687,33628,411,20
Valentine Boy’s #NCT127Challenge,2022-09-16T03:00:24Z,131012,28470,242,16
🐰’s #NCT127Challenge,2022-09-16T03:00:18Z,114690,23807,293,17
🌕’s #NCT127Challenge,2022-09-16T03:00:15Z,95824,23294,339,15
YUUUTTTTTA’s #NCT127Challenge,2022-09-16T03:00:15Z,244281,41701,507,14
Chicago Prince’s #NCT127Challenge,2022-09-16T03:00:14Z,86610,19513,210,16
🐯’s #NCT127Challenge,2022-09-16T03:00:13Z,171952,34981,234,19
Full Sun’s #NCT127Challenge,2022-09-16T03:00:04Z,182626,35070,379,15
