publishedAt,viewCount,likeCount,commentCount,duration,memberCount,Category,Keywords,subscriberCount
2022-10-25T13:00:33Z,994000,92834,1683,1219,5,Jakun,"Jakun, everland, amusement park, promotion",5.28
2022-10-25T06:00:12Z,151000,34234,273,10,1,Shorts,Everland,5.28
2022-10-24T11:00:15Z,261459,47099,1103,647,5,Vlog,"Awards, bts, Vlog",5.28
2022-10-13T11:00:23Z,332257,52869,1636,628,7,BTS,"Photoshoot, Merchandise",5.26
2022-09-24T04:38:41Z,806269,131182,696,21,3,Shorts,Dance Challenge,5.23
2022-09-20T13:00:34Z,259096,56508,1562,111,7,Recap,Post Concert Video,5.23
2022-09-16T10:33:16Z,554819,109999,1890,50,1,Shorts,Dance Challenge,5.22
2022-09-11T09:59:28Z,164823,47308,563,37,7,Shorts,Recap Concert,5.21
2022-09-01T10:00:18Z,432971,68854,1567,252,7,Cheering guide,"Fan Culture, Cheering Guide, Pre-Concert, Concert, Concert Prep",5.2
2022-08-31T13:00:12Z,227907,46760,745,51,7,BTS,Exhibition,5.2
2022-08-30T03:00:29Z,584089,39811,1227,5658,7,Replay,"Anniversary Live, Replay, Live",5.19
2022-08-25T11:25:00Z,1097225,129971,3671,1811,7,Jakun,"Jakun, Concept, Anniversary, Games, Reminiscence",5.18
2022-08-14T13:00:36Z,1265460,148701,4410,1203,7,Jakun,"Jakun, Debate, Concept, Funny",5.16
2022-08-06T11:00:19Z,408629,63069,1310,445,5,BTS,"Photoshoot, Advertisement, Clothing advertisement",5.15
2022-08-01T01:00:07Z,294214,58750,1129,78,7,BTS,"Pre Exhibition, Promotion, Photoshoot",5.14
2022-07-26T13:00:12Z,527932,79591,3268,579,7,Jakun,"DIY, Pre Concert, Concert Preparation, Jakun, Lightstick, Fan Culture",5.13
2022-07-26T08:43:33Z,319948,56505,1890,106,7,Shorts,"Shorts, Pre Concert",5.13
2022-07-18T11:00:11Z,950605,126920,4444,237,7,Dance Practice,"Dance, Dance Practice",5.12
2022-07-17T13:00:07Z,798872,109943,2792,1045,7,Jakun,"GRWM, Pre Concert, DIY, Promotion, Jakun, Fashion, Fan culture",5.12
2022-07-12T11:00:03Z,814699,124774,1769,924,7,BTS,"Stage, Festival, Dream Concert",5.09
2022-07-10T13:00:34Z,2444640,401355,11916,1106,5,Jakun,"Jakun, Jakarta, Vacation, Food, Vlog, Trip",5.07
2022-07-06T13:00:30Z,2536041,490867,15819,585,5,Jakun,"Jakun, Jakarta, Vacation, Food, Vlog, Trip",5.03
2022-06-30T11:00:09Z,400461,71445,1064,206,0,Compilation,"TikTok, Compliation",5
2022-06-29T13:00:21Z,1271515,292234,11444,521,5,BTS,"Festival, Stage, Vlog",4.99
2022-06-27T13:00:03Z,1100511,135778,3701,1824,7,Recording BTS,"Comeback, BTS, Recording",4.98
2022-06-25T11:00:39Z,713284,105102,1827,619,7,BTS,"Stage, BTS, Comeback",4.97
2022-06-23T11:00:14Z,4891843,382213,9900,248,7,Dance Practice,"Comeback, Dance, Dance Practice",4.96
2022-06-21T13:00:31Z,3868142,217745,1776,208,7,Choreography Video,"Comeback, Dance",4.94
2022-06-20T11:00:18Z,1084225,146457,2369,625,7,BTS,"Dance, Dance Practice, BTS",4.94
2022-06-19T13:00:24Z,1978830,227270,2864,1144,7,Reaction Video,"Comeback, Music Video, Reaction",4.93
2022-06-19T12:33:16Z,343987,88194,961,16,7,Shorts,Dream Concert,4.93
2022-06-16T13:00:30Z,403405,62464,1050,1379,7,BTS,"Photoshoot, Album Photoshoot, Jacket Photoshoot, Photoshoot BTS",4.93
2022-06-14T13:00:07Z,817481,112521,1851,1518,7,BTS,"Photoshoot BTS, Album Photoshoot, Album Photoshoot BTS",4.92
2022-06-10T11:00:39Z,1557051,172771,3849,1292,7,Jakun,"Game, Promotion, Jakun, New Album",4.91
2022-06-08T11:00:00Z,841503,128840,4690,602,5,Jakun,"Stage, BTS, Jakun, Vlog",4.9
2022-06-05T09:00:10Z,451854,36345,934,4749,7,Replay,"Promotion,Comeback, Comeback live, Replay, New album",4.88
2022-06-05T08:00:09Z,158610,21562,698,3447,7,Replay,"Promotion, New Album, New Album Countdown, Countdown, Replay",4.88
2022-06-04T13:00:30Z,662732,100320,1510,853,7,Unboxing,"Promotion, New Album, Unboxing",4.88
2022-06-03T13:00:07Z,1177590,169878,1871,354,7,Reaction Video,"Reaction Video, Promotion, New Album",4.88
2022-05-31T11:21:35Z,4956066,453989,10151,232,7,Performance Video,"Performance Stage, Dance, Music Video, Stage",4.85
2022-05-30T09:03:16Z,454748,49663,1061,206,0,Official Audio,Official Audio,4.84
2022-05-30T09:03:03Z,2203512,127291,4135,184,0,Official Audio,Official Audio,4.84
2022-05-30T09:02:46Z,1398401,93588,3062,214,0,Official Audio,Official Audio,4.84
2022-05-30T09:02:21Z,896736,74723,2323,210,0,Official Audio,Official Audio,4.84
2022-05-27T11:01:08Z,252316,53441,131,11,7,Shorts,"Promotion, New Album, TikTok, TikTok Challenge",4.81
2022-05-27T11:00:02Z,380932,55925,211,8,7,Shorts,"Promotion, New Album, TikTok, TikTok Challenge",4.81
2022-05-27T08:01:07Z,220749,41011,222,8,7,Shorts,"Promotion, New Album, TikTok, TikTok Challenge",4.81
2022-05-27T08:00:11Z,182107,42955,146,31,7,Shorts,"Promotion, New Album, TikTok, TikTok Challenge",4.81
2022-05-25T13:00:15Z,462517,91973,1710,403,7,Jakun,"Promotion, BTS, DIY, New Album",4.8
